imone,savivaldybe,adresas,tipas,kaina,data
AB Orlen Baltics Retail,Vilniaus m. sav.,"Vilnius, Ukmergės g. 319, 06305",SND,0.779,2026-06-12
AB Orlen Baltics Retail,Vilniaus m. sav.,"Vilnius, Žirmūnų g. 1T, 09239",95 benzinas,1.699,2026-06-12
AB Orlen Baltics Retail,Vilniaus m. sav.,"Vilnius, Žirmūnų g. 1T, 09239",Dyzelinas,1.799,2026-06-12
AB Orlen Baltics Retail,Vilniaus m. sav.,"Vilnius, Žirmūnų g. 1T, 09239",SND,0.779,2026-06-12
AB Orlen Baltics Retail,Telšių r. sav.,"Telšiai, Plungės g. 33 D, 87329",95 benzinas,1.719,2026-06-12
AB Orlen Baltics Retail,Telšių r. sav.,"Telšiai, Plungės g. 33 D, 87329",Dyzelinas,1.779,2026-06-12
AB Orlen Baltics Retail,Telšių r. sav.,"Telšiai, Plungės g. 33 D, 87329",SND,0.759,2026-06-12
AB Orlen Baltics Retail,Šiaulių m. sav.,"Šiauliai, Serbentų g. 82, 77126",95 benzinas,1.699,2026-06-12
AB Orlen Baltics Retail,Šiaulių m. sav.,"Šiauliai, Serbentų g. 82, 77126",Dyzelinas,1.789,2026-06-12
AB Orlen Baltics Retail,Šiaulių m. sav.,"Šiauliai, Serbentų g. 82, 77126",SND,0.759,2026-06-12
AB Orlen Baltics Retail,Raseinių r. sav.,"Nemakščių apyl., Pikelių k. 6, 60375",95 benzinas,1.859,2026-06-12
AB Orlen Baltics Retail,Raseinių r. sav.,"Nemakščių apyl., Pikelių k. 6, 60375",Dyzelinas,1.939,2026-06-12
AB Orlen Baltics Retail,Raseinių r. sav.,"Nemakščių apyl., Pikelių k. 6, 60375",SND,0.819,2026-06-12
AB Orlen Baltics Retail,Raseinių r. sav.,"Pikelių k. 8, 60375",95 benzinas,1.859,2026-06-12
AB Orlen Baltics Retail,Raseinių r. sav.,"Pikelių k. 8, 60375",Dyzelinas,1.939,2026-06-12
AB Orlen Baltics Retail,Raseinių r. sav.,"Pikelių k. 8, 60375",SND,0.819,2026-06-12
AB Orlen Baltics Retail,Prienų r. sav.,"Verbyliškių k., Alytaus g. 2, 59431",95 benzinas,1.679,2026-06-12
AB Orlen Baltics Retail,Prienų r. sav.,"Verbyliškių k., Alytaus g. 2, 59431",Dyzelinas,1.769,2026-06-12
AB Orlen Baltics Retail,Prienų r. sav.,"Verbyliškių k., Alytaus g. 2, 59431",SND,0.779,2026-06-12
AB Orlen Baltics Retail,Panevėžio r. sav.,"Nausodė, Šiaulių g. 50, 38366",95 benzinas,1.729,2026-06-12
AB Orlen Baltics Retail,Panevėžio r. sav.,"Nausodė, Šiaulių g. 50, 38366",Dyzelinas,1.829,2026-06-12
AB Orlen Baltics Retail,Panevėžio r. sav.,"Nausodė, Šiaulių g. 50, 38366",SND,0.799,2026-06-12
AB Orlen Baltics Retail,Panevėžio m. sav.,"Panevėžys, Klaipėdos g. 162 D, 37372",95 benzinas,1.699,2026-06-12
AB Orlen Baltics Retail,Panevėžio m. sav.,"Panevėžys, Klaipėdos g. 162 D, 37372",Dyzelinas,1.799,2026-06-12
AB Orlen Baltics Retail,Panevėžio m. sav.,"Panevėžys, Klaipėdos g. 162 D, 37372",SND,0.789,2026-06-12
AB Orlen Baltics Retail,Panevėžio m. sav.,"Panevėžys, Senamiesčio g. 115, 35114",95 benzinas,1.679,2026-06-12
AB Orlen Baltics Retail,Panevėžio m. sav.,"Panevėžys, Senamiesčio g. 115, 35114",Dyzelinas,1.759,2026-06-12
AB Orlen Baltics Retail,Panevėžio m. sav.,"Panevėžys, Senamiesčio g. 115, 35114",SND,0.759,2026-06-12
AB Orlen Baltics Retail,Marijampolės sav.,"Aleksandravo k., 68100",95 benzinas,1.679,2026-06-12
AB Orlen Baltics Retail,Marijampolės sav.,"Aleksandravo k., 68100",Dyzelinas,1.769,2026-06-12
AB Orlen Baltics Retail,Marijampolės sav.,"Aleksandravo k., 68100",SND,0.749,2026-06-12
